                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0847,                 1.1567,                0.97839,                0.75773,                0.47147,                0.50358,                0.35252,                  1.149,                 1.0713,                 1.0294,             0.00041647,             0.00041647,             0.00041647
                      2,                0.99618,                0.75357,                0.95436,                0.65391,                0.48497,                0.52849,                0.37152,                 1.1506,                 1.0682,                 1.0352,              0.0007919,              0.0007919,              0.0007919
                      3,                0.94609,                0.68673,                0.94354,                0.63005,                0.50553,                0.55375,                 0.3948,                  1.094,                 1.0177,                 1.0175,              0.0011261,              0.0011261,              0.0011261
                      4,                0.90628,                0.63936,                0.93132,                0.59203,                 0.5555,                0.56422,                0.40675,                 1.1468,                 1.0732,                 1.0374,              0.0010644,              0.0010644,              0.0010644
                      5,                0.87715,                 0.6003,                0.92195,                0.71489,                0.49164,                0.55337,                0.39845,                 1.1078,                  1.084,                 1.0231,              0.0010644,              0.0010644,              0.0010644
                      6,                 0.8568,                0.58067,                0.91764,                0.61876,                0.60216,                0.60567,                 0.4276,                 1.0812,                0.95447,                 1.0232,              0.0010025,              0.0010025,              0.0010025
                      7,                  0.843,                0.55874,                0.91136,                0.70043,                0.52518,                0.56534,                0.40403,                 1.0871,                0.97006,                 1.0162,             0.00094062,             0.00094062,             0.00094062
                      8,                0.82731,                0.54252,                0.90752,                0.59226,                0.60016,                0.60289,                0.44404,                 1.0641,                0.94122,                 1.0053,             0.00087875,             0.00087875,             0.00087875
                      9,                0.81167,                0.52367,                0.90357,                0.74308,                0.48231,                  0.532,                0.39022,                 1.0927,                 1.1542,                  1.025,             0.00081688,             0.00081688,             0.00081688
                     10,                0.80197,                0.51144,                0.89903,                0.61678,                 0.5486,                0.55521,                0.40876,                  1.086,                 1.0368,                 1.0175,               0.000755,               0.000755,               0.000755
                     11,                0.78869,                0.48637,                0.88907,                0.60606,                 0.5039,                0.54269,                0.40136,                  1.121,                 1.1857,                 1.0375,             0.00069313,             0.00069313,             0.00069313
                     12,                0.77679,                0.47363,                0.88489,                0.70964,                0.51472,                0.58401,                0.43076,                 1.0924,                 1.0691,                 1.0185,             0.00063125,             0.00063125,             0.00063125
                     13,                0.76377,                0.45645,                0.88045,                0.58061,                0.56685,                0.56643,                 0.4124,                 1.0899,                  1.116,                 1.0217,             0.00056938,             0.00056938,             0.00056938
                     14,                0.75822,                0.44918,                0.87983,                0.62154,                0.51159,                0.54722,                  0.402,                 1.0856,                 1.1156,                 1.0283,              0.0005075,              0.0005075,              0.0005075
                     15,                0.74571,                0.43485,                0.87651,                 0.6302,                0.52187,                0.57692,                0.43021,                 1.0689,                 1.0269,                 1.0143,             0.00044563,             0.00044563,             0.00044563
                     16,                0.73489,                 0.4252,                0.87279,                0.59916,                0.54876,                0.56444,                 0.4213,                 1.0858,                 1.1065,                 1.0239,             0.00038375,             0.00038375,             0.00038375
                     17,                0.72616,                0.41203,                0.87089,                0.58835,                0.53096,                0.56312,                0.42037,                 1.0539,                 1.0598,                 1.0121,             0.00032188,             0.00032188,             0.00032188
                     18,                0.71728,                 0.4023,                0.86734,                0.66869,                0.53698,                0.58966,                0.43925,                 1.0657,                  1.127,                 1.0142,                0.00026,                0.00026,                0.00026
                     19,                0.70682,                0.39333,                0.86472,                0.61807,                0.56198,                0.57448,                0.43455,                 1.0679,                 1.0986,                 1.0206,             0.00019813,             0.00019813,             0.00019813
                     20,                 0.7008,                0.38235,                0.86157,                0.63017,                0.51805,                0.57312,                0.43311,                 1.0584,                 1.1471,                 1.0131,             0.00013625,             0.00013625,             0.00013625
